height,D_DT_geo,D_DT_fitted
84140.6921527,nan,18044.5011858
84121.4664765,nan,18044.3962795
83681.0215156,17640.9079043,18041.992959
83431.5020165,nan,18040.6314374
83115.2043356,21738.210588,18038.9055358
82956.3511479,nan,18038.0387416
82667.2323107,17229.3030977,18036.4611434
82515.3878191,nan,18035.6325927
82205.16874,17788.5556192,18033.9398594
81967.3658936,nan,18032.6422706
81720.7954369,18666.3386775,18030.8169041
81538.0131766,nan,18029.3491171
81311.5861921,15784.8581581,18027.530852
81047.5037942,nan,18025.4102046
80795.4457445,19929.4459506,18023.3861158
80719.4759755,nan,18022.7760596
80346.1029557,17368.2836897,18019.7777813
80263.2670748,nan,18019.1125886
79929.9709969,16099.6372199,18016.4361381
79846.6874299,nan,18015.7673503
79440.9610398,18937.7398444,18011.9585355
79185.4733227,nan,18009.2515507
78989.9618378,17483.5240729,18007.1800358
78742.9042473,nan,18004.5623712
78520.2057116,18228.8946485,18002.2027996
78251.9384809,nan,17999.3604112
78028.4348476,19103.1785038,17996.9923093
77792.9734175,nan,17994.0968393
77593.5820248,16909.2582178,17991.4727057
77371.591869,nan,17988.5511562
77160.1939563,16868.3210314,17985.7690082
77088.4622319,nan,17984.8249673
76703.7753714,17782.0583169,17979.7622126
76459.3199678,nan,17976.2471042
76228.0916978,18551.6220006,17972.6100359
75988.8042868,nan,17968.8462025
75780.0116806,17492.87328,17965.5620323
75706.4814305,nan,17964.4054499
75311.9978669,18289.5704834,17957.9076768
75083.5571817,nan,17953.7266273
74865.7275078,17457.5077072,17949.7397865
74666.9742825,nan,17946.1020936
74397.1073002,18350.4138997,17941.0576728
74212.5523434,nan,17937.2039727
73935.5087991,18094.1542407,17931.4190144
73727.5801255,nan,17927.0772468
73494.4889556,17304.8853494,17922.0097959
73323.9724024,nan,17918.0085971
73054.6105159,17277.0823985,17911.6879763
72962.3670464,nan,17909.5234683
72600.2502069,17863.7516712,17900.5052601
72369.6116278,nan,17894.4959387
72140.2465104,18104.1833689,17888.5197975
72061.4636966,nan,17886.3476215
71696.7922973,17470.5832886,17875.8993755
71610.6730842,nan,17873.4319632
71241.2214444,17966.1236285,17862.2347723
71017.4532929,nan,17855.2413017
70790.6254124,17788.1234402,17847.8724611
70583.6815869,nan,17840.865048
70325.6546885,18374.6185794,17832.0278764
70115.7285401,nan,17824.370642
69907.8932431,16525.5475434,17816.7896732
69673.1451167,nan,17807.7158381
69463.9945446,17576.6748037,17799.5387838
69220.6993845,nan,17789.5407166
69018.9109104,17641.449356,17781.1214187
68927.0232031,nan,17777.1681089
68586.5036082,17156.1850336,17762.0638419
68484.3491408,nan,17757.3203986
68105.0959818,19120.3036409,17739.2988166
67882.8456328,nan,17728.265951
67693.6798044,16357.1580997,17718.5516272
67593.8804329,nan,17713.3327631
67244.9463149,17858.47373,17694.4874381
66999.5887087,nan,17680.6278283
66802.5003205,17626.3326231,17669.2064284
66559.0010592,nan,17654.5265886
66339.897621,18448.6111149,17640.8159259
66134.5585174,nan,17627.6037663
65929.2353315,16393.7833404,17614.0295584
65658.3707019,nan,17595.4070976
65488.9457817,17593.8687598,17583.3724192
65235.6849016,nan,17564.8156426
65047.6052004,17653.948825,17550.5340968
64950.3979691,nan,17543.0669619
64633.6975273,16573.1150336,17517.7212487
64522.8261602,nan,17508.6433491
64207.3219617,17089.0929273,17481.7172766
64088.5197758,nan,17471.3268986
63771.9106074,17468.8511397,17442.4751017
63651.1974933,nan,17431.140682
63319.0503533,18187.8418027,17398.8549743
63081.4769179,nan,17374.6576652
62888.5377557,17308.272412,17354.3854878
62672.9251596,nan,17331.0311013
62457.658419,17340.6031692,17306.9221163
62238.5685116,nan,17281.4997487
62044.0753169,16661.1234526,17258.2458939
61797.1055223,nan,17227.6396951
61628.6904629,16750.1269718,17206.1032463
61513.7934451,nan,17191.0693281
61195.5424224,17483.9985421,17148.0348295
60965.5203636,nan,17115.5143695
60773.3635024,17058.5606553,17087.448975
60570.5330682,nan,17056.9016069
60332.8187156,17818.9521018,17019.8007875
60117.1675337,nan,16984.8838803
59928.3247354,16377.2972957,16953.2853277
59837.2201376,nan,16937.7017675
59529.6086453,16158.8789266,16883.3731357
59314.7654543,nan,16843.7959965
59120.1592054,16609.9572187,16806.7274945
58879.4480549,nan,16759.1988162
58699.1780828,17094.8049249,16722.359134
58528.1160763,nan,16686.3736002
58296.9717338,16348.6122603,16636.1081079
58092.3615031,nan,16589.9598239
57907.1198554,15861.5876386,16546.8011445
57829.4530834,nan,16528.2986155
57495.2725451,16772.7496274,16445.8651233
57252.5035149,nan,16382.9876671
57101.1348098,16067.1997136,16342.4344116
56911.0375663,nan,16290.0039831
56703.7176405,16216.4670862,16230.8291966
56614.31493,nan,16204.6641953
56317.3483881,15780.7046376,16114.7229212
56220.9719838,nan,16084.5025559
55918.7425435,16296.0825456,15986.3943546
55737.455644,nan,15924.9678298
55509.251914,16757.6221384,15844.8060202
55327.9097942,nan,15778.6970648
55156.7129653,14440.4520845,15714.298612
54975.7444685,nan,15644.0215838
54764.5437031,16078.4475594,15559.0121524
54621.7496587,nan,15499.6606189
54392.840789,15253.6728233,15401.1802739
54301.5736434,nan,15360.7498305
54034.4700671,14719.7902665,15238.3928515
53801.9700601,nan,15126.8085878
53633.6075146,16480.5484838,15042.9036035
53559.1440916,nan,15004.9333928
53309.5933381,13333.0525322,14873.7058316
53125.4403688,nan,14772.7838756
52939.3494293,15248.5028132,14667.1188744
52862.9844467,nan,14622.6405936
52616.7653049,13297.0678182,14474.7050678
52431.9277616,nan,14358.9079352
52248.4094022,15196.8595596,14239.726271
52054.4780993,nan,14109.0486749
51917.2901026,13672.5442947,14013.5377481
51756.0093981,nan,13897.9082166
51572.4695619,14250.318074,13761.76186
51447.1804665,nan,13665.9351444
51232.9315025,14044.0294958,13496.4580469
51190.6122556,nan,13462.1172519
50951.8414222,11635.5414157,13262.869864
50802.1609342,nan,13133.0611063
50605.9098419,14330.8905801,12956.8976346
50560.0633821,nan,12914.753595
50359.1027647,10232.0885526,12725.4050712
50312.8532685,nan,12680.7622307
50016.7389018,14204.2047434,12385.0432545
49969.9272459,nan,12336.7104688
49720.5878298,12296.8024016,12071.6776246
49581.1180261,nan,11917.7746205
49432.4897207,11971.2633929,11749.182432
49319.8366519,nan,11618.2044371
49141.4612413,12101.897341,11405.0833145
49027.6566305,nan,11265.400586
48893.4022872,10322.1392339,11096.8575465
48761.2620578,nan,10926.9750334
48625.757255,11144.4432081,10748.6188681
48576.6167403,nan,10682.8990924
48419.7730391,8582.12152838,10469.4533804
48338.1210139,nan,10356.1118932
48139.5273914,11683.3788851,10074.1465862
